Name,Sex,h1,h2,h3,
m,X, ,X,n255,
f,X, ,X,n256,
f,X,X,X,n484,
f,X,X, ,n258,
m,X,X,X,n259,
f,X,X, ,n260,
m,X,X,X,n261,
f,X,X, ,n262,
m,X,X, ,n263,
f,X,X,X,n264,
m,X,X,X,n265,
f,X,X,X,n266,
m,X,X,X,n267,
f,X,X,X,n268,
m,X, ,X,n269,
f,X, ,X,n194,
m,X,X,X,n271,
f,X,X,X,n272,
m,X, ,X,n273,
f,X,X,X,n274,
m,X, ,X,n275,
f,X,X,X,n276,
m,X,X, ,n277,
f,X,X,X,n278,
m,X,X,X,n279,
f,X,X,X,n280,
m,X,X,X,n281,
f,X,X, ,n336,
m,X,X,X,n283,
f,X,X,X,n284,
m,X,X, ,n285,
f,X,X,X,n286,
f,X,X, ,n442,
f,X,X,X,n288,
m,X,X, ,n289,
f,X,X, ,n290,
m,X,X,X,n291,
m,X, ,X,n449,
m,X,X, ,n293,
m,X,X,X,n31,
m,X,X, ,n295,
f,X, ,X,n296,
m,X,X,X,n297,
f,X,X, ,n298,
m,X,X,X,n299,
f,X,X, ,n300,
m,X,X, ,n301,
f,X,X,X,n302,
m,X,X,X,n303,
f,X,X,X,n304,
m,X, ,X,n305,
f,X,X,X,n306,
m,X,X,X,n307,
f,X,X, ,n308,
m,X, ,X,n309,
f,X,X,X,n310,
m,X,X, ,n311,
f,X, ,X,n312,
f,X,X,X,n500,
f,X,X,X,n314,
m,X,X, ,n75,
f,X,X, ,n316,
m,X,X, ,n317,
f,X,X,X,n318,
m,X,X,X,n359,
f,X,X,X,n320,
m,X,X, ,n321,
f,X,X, ,n322,
m,X,X,X,n323,
f,X, ,X,n324,
m,X,X,X,n325,
f,X,X, ,n326,
m,X,X,X,n327,
f,X, ,X,n328,
f,X,X,X,n186,
f,X,X, ,n330,
m,X,X,X,n331,
f,X,X, ,n332,
m,X,X,X,n333,
f,X,X,X,n334,
f,X,X,X,n166,
f,X,X,X,n282,
m,X,X, ,n337,
f,X,X,X,n338,
m,X,X,X,n201,
m,X,X,X,n127,
m,X,X, ,n341,
f,X,X,X,n342,
m,X,X, ,n343,
f,X,X,X,n344,
m,X, ,X,n345,
f,X,X,X,n346,
m,X,X,X,n347,
f,X,X,X,n348,
m,X, ,X,n349,
f,X,X,X,n426,
m,X,X,X,n351,
f,X,X, ,n352,
f,X, ,X,n62,
f,X, ,X,n354,
m,X, ,X,n355,
f,X, ,X,n356,
m,X,X,X,n357,
f,X, ,X,n358,
m,X,X, ,n19,
f,X,X,X,n360,
f,X,X, ,n430,
f,X, ,X,n362,
m,X, ,X,n313,
f,X,X,X,n364,
m,X,X,X,n365,
f,X,X, ,n366,
m,X,X,X,n367,
m,X,X,X,n369,
f,X,X, ,n368,
f,X,X,X,n370,
m,X,X,X,n371,
f,X,X,X,n372,
m,X,X, ,n373,
f,X,X,X,n374,
m,X,X,X,n375,
f,X,X, ,n376,
m,X,X,X,n377,
f,X,X,X,n378,
m,X,X,X,n379,
f,X, ,X,n380,
m,X,X,X,n381,
f,X, ,X,n382,
m,X, ,X,n383,
f,X,X,X,n384,
m,X,X, ,n385,
f,X,X,X,n386,
m,X,X, ,n387,
f,X,X,X,n388,
m,X,X,X,n389,
f,X,X,X,n390,
m,X, ,X,n391,
f,X,X,X,n392,
m,X,X,X,n393,
f,X,X,X,n394,
m,X,X,X,n395,
f,X,X,X,n396,
m,X,X,X,n397,
f,X,X,X,n398,
m,X, ,X,n399,
f,X,X,X,n42,
m,X,X, ,n401,
f,X,X, ,n402,
m,X,X, ,n403,
f,X,X,X,n404,
m,X,X, ,n405,
f,X, ,X,n406,
m,X,X, ,n407,
f,X, ,X,n408,
m,X,X, ,n409,
f,X,X, ,n410,
m,X, ,X,n411,
f,X,X, ,n412,
m,X,X,X,n413,
f,X, ,X,n414,
f,X,X,X,n242,
f,X,X,X,n416,
m,X,X, ,n417,
f,X,X,X,n418,
m,X,X, ,n419,
f,X,X,X,n180,
f,X,X,X,n506,
f,X,X,X,n422,
f,X,X, ,n252,
f,X,X,X,n424,
m,X,X,X,n239,
f,X, ,X,n350,
m,X,X,X,n427,
f,X, ,X,n428,
m,X,X, ,n429,
f,X,X,X,n452,
m,X,X, ,n431,
f,X,X, ,n432,
m,X,X, ,n433,
f,X,X,X,n434,
m,X,X,X,n507,
f,X,X,X,n436,
m,X,X,X,n437,
f,X,X, ,n438,
m,X,X,X,n439,
f,X,X,X,n440,
m,X, ,X,n441,
m,X,X, ,n287,
m,X,X, ,n443,
f,X,X, ,n444,
m,X,X,X,n445,
f,X,X,X,n446,
m,X,X, ,n447,
f,X, ,X,n448,
m,X,X,X,n495,
f,X,X,X,n450,
m,X, ,X,n451,
m,X,X,X,n361,
m,X,X,X,n453,
f,X,X,X,n454,
m,X,X, ,n455,
f,X,X,X,n456,
m,X,X,X,n457,
f,X,X, ,n458,
m,X,X,X,n459,
f,X,X,X,n460,
m,X, ,X,n461,
f,X, ,X,n462,
m,X,X, ,n251,
f,X,X,X,n464,
m,X, ,X,n465,
f,X,X, ,n466,
m,X, ,X,n467,
f,X,X,X,n468,
m,X, ,X,n469,
f,X,X,X,n470,
m,X,X, ,n493,
f,X, ,X,n472,
m,X,X, ,n473,
f,X,X,X,n474,
m,X,X,X,n5,
f,X, ,X,n476,
m,X,X,X,n477,
f,X,X, ,n478,
m,X,X,X,n479,
f,X, ,X,n480,
m,X,X,X,n481,
f,X,X, ,n482,
m,X, ,X,n483,
m,X,X,X,n257,
f,X, ,X,n292,
f,X,X,X,n486,
m,X,X, ,n487,
f,X,X,X,n60,
m,X,X,X,n489,
f,X, ,X,n490,
m,X,X,X,n491,
m,X,X, ,n119,
m,X,X, ,n471,
f,X,X,X,n494,
m,X, ,X,n485,
f,X,X, ,n496,
m,X, ,X,n315,
f,X,X,X,n498,
m,X, ,X,n171,
m,X,X, ,n363,
m,X,X, ,n501,
f,X,X, ,n294,
m,X,X, ,n503,
f,X,X,X,n2,
m,X,X,X,n505,
m,X,X,X,n421,
m,X, ,X,n435,
f,X,X,X,n508,
m,X,X,X,n509,
f,X,X, ,n510,
m,X,X, ,n511,
m,X, ,X,n497,
