Name,Sex,h1,h2,h3,
m,X, ,X,n45,
m,X,X,X,n151,
f,X,X,X,n152,
m,X, ,X,n153,
f,X,X,X,n54,
m,X, ,X,n155,
f,X, ,X,n156,
m,X,X, ,n157,
f,X,X, ,n158,
m,X, ,X,n159,
f,X,X, ,n160,
m,X,X,X,n161,
f,X, ,X,n162,
m,X,X,X,n163,
f,X,X,X,n164,
m,X,X,X,n165,
f,X,X, ,n166,
m,X,X,X,n167,
f,X, ,X,n168,
m,X,X,X,n169,
f,X,X,X,n170,
m,X,X, ,n171,
f,X,X,X,n172,
m,X,X,X,n173,
f,X, ,X,n174,
m,X,X, ,n175,
f,X,X, ,n176,
m,X,X,X,n177,
f,X,X,X,n178,
m,X,X,X,n179,
f,X,X,X,n180,
m,X,X,X,n181,
f,X,X,X,n182,
m,X,X,X,n183,
f,X,X, ,n184,
m,X,X,X,n185,
f,X,X, ,n186,
m,X,X,X,n187,
f,X, ,X,n188,
m,X,X,X,n189,
f,X,X,X,n210,
m,X,X,X,n191,
f,X,X,X,n192,
m,X,X,X,n193,
f,X,X,X,n194,
m,X, ,X,n195,
f,X,X, ,n196,
m,X,X, ,n197,
f,X, ,X,n198,
m,X, ,X,n199,
f,X,X,X,n200,
m,X,X,X,n201,
f,X, ,X,n202,
m,X,X, ,n203,
f,X,X,X,n204,
m,X,X,X,n205,
f,X, ,X,n206,
m,X,X, ,n207,
f,X, ,X,n208,
m,X,X,X,n209,
f,X,X, ,n190,
m,X,X,X,n211,
f,X,X,X,n212,
m,X, ,X,n213,
f,X, ,X,n214,
f,X,X,X,n32,
f,X,X, ,n216,
m,X, ,X,n217,
f,X,X, ,n218,
m,X, ,X,n219,
f,X,X,X,n220,
m,X,X, ,n221,
f,X,X, ,n222,
m,X,X,X,n223,
f,X,X,X,n224,
m,X,X, ,n225,
f,X,X,X,n226,
m,X,X,X,n227,
f,X,X,X,n228,
m,X,X, ,n229,
f,X,X,X,n230,
m,X,X,X,n231,
f,X,X,X,n232,
m,X,X, ,n233,
f,X,X, ,n234,
m,X, ,X,n235,
f,X, ,X,n236,
m,X,X, ,n237,
f,X,X,X,n238,
m,X,X,X,n239,
f,X,X,X,n240,
m,X,X,X,n241,
f,X, ,X,n124,
m,X,X, ,n243,
f,X, ,X,n244,
m,X, ,X,n245,
f,X,X, ,n246,
m,X, ,X,n247,
f,X,X,X,n248,
m,X, ,X,n249,
f,X, ,X,n250,
m,X, ,X,n19,
f,X,X,X,n252,
m,X,X,X,n253,
f,X,X,X,n254,
m,X,X,X,n255,
f,X,X,X,n256,
